카테고리,가게명,주소,정제된_주소,lat,lon
중국집,차즈융성마라탕,경기도 안산시 상록구 본오동 777-3 777-3 1층,경기도 안산시 상록구 본오동 777-3,37.2935459,126.8728175
중국집,마라풍차-본오점,"경기도 안산시 상록구 본오동 872-20 우성아파트 상가동 우성아파트 상가 1층 104호 , 141호",경기도 안산시 상록구 본오동 872-20,37.2977001,126.8650771
중국집,금룡양꼬치,경기도 안산시 상록구 본오동 877-8 올림포스보노피아 877-8 올림포스보노피아 2층208호,경기도 안산시 상록구 본오동 877-8,37.3021314,126.862977
중국집,동해강릉초당짬뽕순두부-상록수점,경기도 안산시 상록구 본오동 872-2 국제프라자 103호104호,경기도 안산시 상록구 본오동 872-2,37.3006937,126.8635925
중국집,젠틀포,경기도 안산시 상록구 본오동 813-9 1층,경기도 안산시 상록구 본오동 813-9,37.2968272,126.8674156
중국집,천년의짬뽕,"경기도 안산시 상록구 본오동 880-12 굿모닝리빙프라자 II 101호,102호",경기도 안산시 상록구 본오동 880-12,37.2943624,126.8626929
중국집,연길냉면&꿔바로우,경기도 안산시 상록구 본오동 777-3 777-3 1층,경기도 안산시 상록구 본오동 777-3,37.2935459,126.8728175
중국집,소화룡양꼬치,경기도 안산시 상록구 본오동 877-8 올림포스보노피아 877-8 올림포스보노피아 2층208호,경기도 안산시 상록구 본오동 877-8,37.3021314,126.862977
중국집,짜장짬뽕시대,경기도 안산시 상록구 본오동 860-11 1층 103호,경기도 안산시 상록구 본오동 860-11,37.2919337,126.8673046
중국집,778양꼬치-본오점,경기도 안산시 상록구 본오동 893-9 1층 101호,경기도 안산시 상록구 본오동 893-9,37.2923824,126.8597209
중국집,1001양꼬치&꼬치튀김,경기도 안산시 상록구 본오동 882-10 102호,경기도 안산시 상록구 본오동 882-10,37.2931408,126.8626907
중국집,행복짬뽕,경기도 안산시 상록구 본오동 770-4 1층,경기도 안산시 상록구 본오동 770-4,37.2946854,126.873559
중국집,짬뽕에반하다-본오점,경기도 안산시 상록구 본오동 724 청룡빌라 1층 105호,경기도 안산시 상록구 본오동 724,37.2898862,126.8706262
중국집,강남화로구이양갈비양꼬치,경기도 안산시 상록구 본오동 1118-10 1층,경기도 안산시 상록구 본오동 1118-10,37.3008941,126.8726998
한식,서울뚝배기-본점,"경기도 안산시 상록구 본오동 872-12 872-12 106,107,108호",경기도 안산시 상록구 본오동 872-12,37.2985585,126.8634752
한식,뼈앓이감자탕-본오점,경기도 안산시 상록구 본오동 815 1층 일부,경기도 안산시 상록구 본오동 815,37.2964604,126.8682821
한식,H.열정직화삼겹&밥도둑짜글이-상록구점,경기도 안산시 상록구 본오동 984-19 1층 102호,경기도 안산시 상록구 본오동 984-19,37.2852253,126.8598371
한식,가서채생선구이전문점,경기도 안산시 상록구 본오동 860-8 860-8 1층,경기도 안산시 상록구 본오동 860-8,37.2919166,126.8678168
한식,어촌식당,경기도 안산시 상록구 본오동 675 675 1층,경기도 안산시 상록구 본오동 675,37.2864596,126.8640022
한식,진미곱창-본오점,경기도 안산시 상록구 본오동 872-15 화정빌딩 872-15 화정빌딩 101호,경기도 안산시 상록구 본오동 872-15,37.297854,126.8634388
한식,비벼밥과쌈밥,경기도 안산시 상록구 본오동 668 668,경기도 안산시 상록구 본오동 668,37.2880923,126.8650492
한식,육잘알-본점,경기도 안산시 상록구 본오동 873-1 상경빌딩 지하1층 B108호,경기도 안산시 상록구 본오동 873-1,37.3014246,126.8643357
한식,소공동직화구이집,경기도 안산시 상록구 본오동 797-21 797-21,경기도 안산시 상록구 본오동 797-21,37.2961352,126.8698571
한식,덮밥딜리버리-상록수점,"경기도 안산시 상록구 본오동 872 월드아파트 상가3동 지층 B01호일부 , B02호 일부",경기도 안산시 상록구 본오동 872,37.2998508,126.8651151
한식,시골우렁쌈밥,경기도 안산시 상록구 본오동 960-12 960-12 1층,경기도 안산시 상록구 본오동 960-12,37.2870407,126.8594833
한식,민지네산꼼장어껍데기,경기도 안산시 상록구 본오동 885-3 민지산꼼장어껍데기 1층 전체,경기도 안산시 상록구 본오동 885-3,37.2924886,126.8626572
한식,여가순댓국,경기도 안산시 상록구 본오동 812-1 1층,경기도 안산시 상록구 본오동 812-1,37.297772,126.8674687
한식,꼬꼬삼계탕,경기도 안산시 상록구 본오동 888-2 1층 일부호,경기도 안산시 상록구 본오동 888-2,37.293213,126.8603171
한식,원조칡냉면-본오본점,경기도 안산시 상록구 본오동 872-9 872-9 융창빌딩 1층 102호,경기도 안산시 상록구 본오동 872-9,37.2991793,126.8635073
한식,우렁각시쌈밥,경기도 안산시 상록구 본오동 926-7 1층 101호,경기도 안산시 상록구 본오동 926-7,37.2888415,126.8635815
한식,오늘은찌개내일은제육,경기도 안산시 상록구 본오동 674-3 명성빌딩 1층 일부호,경기도 안산시 상록구 본오동 674-3,37.2868426,126.8644369
한식,신홍닭발,경기도 안산시 상록구 본오동 882-10 1층 일부,경기도 안산시 상록구 본오동 882-10,37.2931408,126.8626907
한식,도도야알탕,경기도 안산시 상록구 본오동 668-6 1층 일부(본오동),경기도 안산시 상록구 본오동 668-6,37.2880688,126.8658764
한식,여수해물아구찜&사계절김치찜,경기도 안산시 상록구 본오동 804-17 804-17 104호,경기도 안산시 상록구 본오동 804-17,37.296757,126.8695292
한식,새천년국밥,"경기도 안산시 상록구 본오동 880-12 굿모닝리빙프라자 II 101호,102호",경기도 안산시 상록구 본오동 880-12,37.2943624,126.8626929
한식,동강감자탕&김치전골,경기도 안산시 상록구 본오동 771-20 1층,경기도 안산시 상록구 본오동 771-20,37.2943634,126.8754896
한식,육참냉면&콩국수-안산상록점,경기도 안산시 상록구 본오동 753-7 1층,경기도 안산시 상록구 본오동 753-7,37.296618,126.8741616
한식,중앙즉석닭발-상록수점,"경기도 안산시 상록구 본오동 872-11 대승프라자 101,102,103호",경기도 안산시 상록구 본오동 872-11,37.2987654,126.8634859
한식,서윤찬가찌개백반전문점,경기도 안산시 상록구 본오동 877-8 올림포스보노피아 1층 117호,경기도 안산시 상록구 본오동 877-8,37.3021314,126.862977
한식,오늘도못참는김치찜-안산점,경기도 안산시 상록구 본오동 934-5 1층,경기도 안산시 상록구 본오동 934-5,37.2902765,126.8588364
한식,곱창주의보,경기도 안산시 상록구 본오동 934-20 1층 101호,경기도 안산시 상록구 본오동 934-20,37.2894509,126.8577325
한식,별맛푸드,경기도 안산시 상록구 본오동 890-3 지하1층,경기도 안산시 상록구 본오동 890-3,37.2934791,126.8593577
한식,팔팔김치찌개,경기도 안산시 상록구 본오동 829 829 1층102호,경기도 안산시 상록구 본오동 829,37.2930829,126.8713495
한식,황제닭도리탕,경기도 안산시 상록구 본오동 827-13 1층 일부,경기도 안산시 상록구 본오동 827-13,37.2939498,126.8693934
한식,동태탕&코다리찜,경기도 안산시 상록구 본오동 773-7 1층,경기도 안산시 상록구 본오동 773-7,37.2941234,126.8740526
한식,왔다왕십리곱창,경기도 안산시 상록구 본오동 769-17 1층,경기도 안산시 상록구 본오동 769-17,37.2949941,126.8733441
한식,궁궐전,경기도 안산시 상록구 본오동 787-4 1층 102호,경기도 안산시 상록구 본오동 787-4,37.2940085,126.871136
한식,따라따라포차,경기도 안산시 상록구 본오동 888 풍족한식탁 1층 101호,경기도 안산시 상록구 본오동 888,37.2932204,126.8600149
한식,황금산숯불바베큐-본오점,경기도 안산시 상록구 본오동 769-1 1층 101호,경기도 안산시 상록구 본오동 769-1,37.2954481,126.8729385
한식,신오돌불닭발,경기도 안산시 상록구 본오동 873-9 덕암빌딩 206호,경기도 안산시 상록구 본오동 873-9,37.3010933,126.8650973
한식,본오냉면,"경기도 안산시 상록구 본오동 879-8 대한빌딩 879-8 1층 105호,106호(대한빌딩)",경기도 안산시 상록구 본오동 879-8,37.2982442,126.8628961
한식,서현닭발,"경기도 안산시 상록구 본오동 878-8 상록빌딩 878-8 상록빌딩 108호, 109호",경기도 안산시 상록구 본오동 878-8,37.3011847,126.8623297
한식,김미자당진아구동태찜탕-본오점,경기도 안산시 상록구 본오동 918-8 918-8,경기도 안산시 상록구 본오동 918-8,37.2887433,126.8660307
한식,육회본가2호점-본오점,경기도 안산시 상록구 본오동 892-5 892-5 101호,경기도 안산시 상록구 본오동 892-5,37.2927965,126.8597485
한식,신라왕족발-본오점,경기도 안산시 상록구 본오동 779 연지프라자 779 연지프라자 115호,경기도 안산시 상록구 본오동 779,37.2946635,126.8723286
한식,두례김밥,경기도 안산시 상록구 본오동 872 월드아파트 상가3동 1층 107호,경기도 안산시 상록구 본오동 872,37.2998508,126.8651151
