CTY_CD,CTY_NM,TIME_CD,FORN_GB,M_10_CNT,M_15_CNT,M_20_CNT,M_25_CNT,M_30_CNT,M_35_CNT,M_40_CNT,M_45_CNT,M_50_CNT,M_55_CNT,M_60_CNT,M_65_CNT,M_70_CNT,F_10_CNT,F_15_CNT,F_20_CNT,F_25_CNT,F_30_CNT,F_35_CNT,F_40_CNT,F_45_CNT,F_50_CNT,F_55_CNT,F_60_CNT,F_65_CNT,F_70_CNT,ETL_YMD
41271,안산시 상록구,7,외국인,0.0,18.81,111.21,77.71,115.26,113.17,63.59,63.53,63.82,51.6,39.48,36.45,0.0,0.0,8.53,124.94,80.23,70.29,95.63,61.38,53.09,60.02,47.85,37.73,29.1,13.64,20220307
41273,안산시 단원구,17,내국인,2202.32,3294.31,4498.89,4487.21,3680.26,3509.7,4331.94,4963.01,5204.12,4882.95,4219.9,2059.15,870.28,2050.94,3184.53,3533.96,3655.42,2871.65,2361.42,2976.2,3804.67,4339.17,3934.37,2753.44,1535.37,803.55,20220317
41271,안산시 상록구,15,내국인,2228.32,4500.06,3529.53,3142.69,2219.41,2035.02,2381.85,2912.87,3612.24,3443.77,3281.78,1521.51,890.21,2435.86,3807.6,2705.19,2205.6,1829.18,2011.81,2469.51,3314.67,3839.98,3425.38,2935.29,1573.71,912.41,20220323
41271,안산시 상록구,8,외국인,8.66,29.21,205.56,63.63,144.33,149.21,77.25,70.41,87.37,84.29,73.39,67.49,23.98,12.17,36.08,220.86,73.65,127.03,133.79,82.65,63.25,84.15,70.32,95.7,54.8,13.67,20220330
41273,안산시 단원구,14,내국인,1880.16,3220.34,4358.93,4508.45,3822.71,4040.81,4671.39,5471.32,6187.39,6036.03,5174.25,2864.84,1421.76,2024.59,2991.78,3507.14,3924.44,3129.68,2740.88,3414.42,4432.32,5282.43,4907.25,3843.87,2223.67,1234.06,20220316
41271,안산시 상록구,4,내국인,587.92,682.42,1623.01,2021.21,1461.53,1142.92,1324.41,1450.95,1753.3,1781.13,1495.22,605.26,360.82,540.8,689.65,1341.77,1611.9,1015.61,978.46,1078.47,1306.47,1564.96,1403.4,1073.98,580.95,319.66,20220306
41273,안산시 단원구,8,내국인,832.95,1196.06,2389.79,3194.46,2612.22,2059.84,2437.86,2734.94,3156.58,3019.31,2904.62,1468.42,618.51,794.78,957.9,1920.43,2497.87,1897.46,1433.52,1692.57,2024.15,2318.88,2332.55,1916.21,1165.55,538.35,20220327
41271,안산시 상록구,22,외국인,10.38,41.09,344.28,142.17,188.31,193.41,111.22,117.69,65.01,52.87,64.75,54.61,23.87,8.68,42.89,364.6,128.18,131.79,121.0,102.85,95.75,92.32,78.51,92.44,68.24,11.97,20220324
41271,안산시 상록구,1,외국인,1.73,25.65,125.32,80.59,123.1,130.32,89.1,92.16,63.23,46.12,35.87,27.22,6.78,6.8,15.38,119.75,94.26,104.17,110.83,80.67,56.32,59.97,39.45,39.24,22.05,13.75,20220306
41273,안산시 단원구,8,내국인,1694.83,2554.93,2808.56,3346.32,3133.99,3029.68,3609.41,4097.77,4596.2,4376.39,3804.1,1870.35,942.97,1903.45,2146.29,2084.49,2600.69,2053.97,1771.4,2103.47,2778.98,3252.71,2956.26,2492.24,1321.91,807.72,20220324
