단지고유번호,필지고유번호,주소,단지명_공시가격,단지명_건축물대장,단지명_도로명주소,단지종류,동수,세대수,사용승인일,정제된_주소,lat,lon
41271320090771,4127110200105330008,경기도 안산상록구 이동 533-8,(533-8),,,3,1,13,2008-04-18,경기도 안산상록구 이동 533-8,37.3123353,126.8592047
41271312168556,4127110200105330009,경기도 안산상록구 이동 533-9,(533-9),,,3,1,14,2002-05-17,경기도 안산상록구 이동 533-9,37.312382,126.859047
41271312168557,4127110200105330010,경기도 안산상록구 이동 533-10,(533-10),,,3,1,13,2002-10-09,경기도 안산상록구 이동 533-10,37.3124311,126.8588882
41271320359283,4127110200105330022,경기도 안산상록구 이동 533-22,정영빌,정영빌,,3,1,8,2017-12-22,경기도 안산상록구 이동 533-22,37.312727,126.8581148
41271320128839,4127110200105340002,경기도 안산상록구 이동 534-2,태백파크빌,,,3,1,8,2010-05-27,경기도 안산상록구 이동 534-2,37.3123015,126.8598012
41271312168558,4127110200105340003,경기도 안산상록구 이동 534-3,진주아트빌,,,3,1,8,2003-01-16,경기도 안산상록구 이동 534-3,37.3122587,126.8599397
41271312168559,4127110200105340005,경기도 안산상록구 이동 534-5,(534-5),,,3,1,8,2001-08-06,경기도 안산상록구 이동 534-5,37.3121731,126.8602167
41271312168560,4127110200105340006,경기도 안산상록구 이동 534-6,(534-6),,,3,1,18,2001-12-29,경기도 안산상록구 이동 534-6,37.3121303,126.8603552
41271312168561,4127110200105340007,경기도 안산상록구 이동 534-7,(534-7),,,3,1,18,2001-12-08,경기도 안산상록구 이동 534-7,37.3120924,126.8605088
41271312168562,4127110200105340017,경기도 안산상록구 이동 534-17,다움빌리지,,,3,1,8,2003-02-24,경기도 안산상록구 이동 534-17,37.3116748,126.8603625
41271320319966,4127110200105340019,경기도 안산상록구 이동 534-19,크라운빌A동B동,크라운빌,크라운빌,3,2,17,2015-06-10,경기도 안산상록구 이동 534-19,37.3118853,126.860575
