단지고유번호,필지고유번호,주소,단지명_공시가격,단지명_건축물대장,단지명_도로명주소,단지종류,동수,세대수,사용승인일
41271320321183,4127110400109480026,경기도 안산상록구 본오동 948-26,스카이팰리스,,,3,1,12,2015-06-08
41271320146426,4127110400109490000,경기도 안산상록구 본오동 949,정상캐슬,정상캐슬,정상캐슬,3,1,8,2011-12-21
41271320171489,4127110400109490007,경기도 안산상록구 본오동 949-7,아모르빌,아모르빌,아모르빌,3,1,8,2013-01-21
41271320428316,4127110400109490009,경기도 안산상록구 본오동 949-9,드림펠리스,드림펠리스,드림펠리스,3,1,8,2021-08-25
41271320408194,4127110400109490011,경기도 안산상록구 본오동 949-11,(949-11),,,3,1,10,2020-06-12
41271320171488,4127110400109490014,경기도 안산상록구 본오동 949-14,아모르빌,아모르빌,아모르빌,3,1,8,2013-01-21
41271320099485,4127110400109510002,경기도 안산상록구 본오동 951-2,준하이츠빌,준하이츠빌,준하이츠빌,3,1,8,2008-08-26
41271320099486,4127110400109510003,경기도 안산상록구 본오동 951-3,경동골든빌,경동골든빌,경동골든빌,3,1,8,2008-08-22
41271320131982,4127110400109510005,경기도 안산상록구 본오동 951-5,햇살애,햇살애,햇살애,3,1,8,2010-10-26
41271320174080,4127110400109510007,경기도 안산상록구 본오동 951-7,푸르미아,,,3,1,8,2013-04-11
41271320146045,4127110400109520001,경기도 안산상록구 본오동 952-1,부원힐스,부원힐스,부원힐스,3,1,8,2011-12-13
41271320278370,4127110400109520002,경기도 안산상록구 본오동 952-2,대덕리치빌,대덕리치빌,대덕리치빌,3,1,8,2013-12-06
41271312169738,4127110400109520003,경기도 안산상록구 본오동 952-3,창그린맨션2차,,,3,1,8,2003-05-06
41271320143749,4127110400109520005,경기도 안산상록구 본오동 952-5,신원에버빌,신원에버빌,신원에버빌,3,1,7,2011-10-18
41271320275964,4127110400109530000,경기도 안산상록구 본오동 953,신성리치빌,,,3,1,8,2013-10-29
41271320175848,4127110400109530002,경기도 안산상록구 본오동 953-2,브라운스톤빌,브라운스톤빌,브라운스톤빌,3,1,8,2013-05-08
41271320431920,4127110400109530004,경기도 안산상록구 본오동 953-4,풀하우스,풀하우스,풀하우스,3,1,8,2022-01-20
41271320332533,4127110400109530005,경기도 안산상록구 본오동 953-5,비발디파크A동,비발디파크 A동,비발디파크 A동,3,1,8,2016-02-22
41271320332534,4127110400109530006,경기도 안산상록구 본오동 953-6,비발디파크B동,비발디파크 B동,비발디파크 B동,3,1,8,2016-02-22
41271320439311,4127110400109530008,경기도 안산상록구 본오동 953-8,드림팰리스,,,3,1,8,2022-09-20
41271312169739,4127110400109530015,경기도 안산상록구 본오동 953-15,953-15,다세대주택,다세대주택,3,1,14,2001-11-20
41271320162625,4127110400109540001,경기도 안산상록구 본오동 954-1,골든캐슬,골든캐슬,골든캐슬,3,1,8,2012-08-24
41271320349929,4127110400109540002,경기도 안산상록구 본오동 954-2,크라운캐슬,크라운캐슬,크라운캐슬,3,1,8,2017-04-19
41271320372279,4127110400109540003,경기도 안산상록구 본오동 954-3,이클래스,이클래스,이클래스,3,1,8,2018-06-21
41271320393697,4127110400109540005,경기도 안산상록구 본오동 954-5,휴플러스,휴플러스,휴플러스,3,1,8,2019-09-07
41271320428149,4127110400109540006,경기도 안산상록구 본오동 954-6,이호캐슬,이호캐슬,이호캐슬,3,1,8,2021-08-20
41271320388433,4127110400109540009,경기도 안산상록구 본오동 954-9,(954-9),,,3,1,8,2019-05-24
41271312169741,4127110400109540015,경기도 안산상록구 본오동 954-15,송호빌라,,,3,1,7,2002-06-17
41271312169742,4127110400109550001,경기도 안산상록구 본오동 955-1,이호빌라,,,3,1,8,2001-11-22
41271320348445,4127110400109550004,경기도 안산상록구 본오동 955-4,대명하늘채(955-4번지),대명하늘채,대명하늘채,3,1,8,2017-03-10
41271320383910,4127110400109550005,경기도 안산상록구 본오동 955-5,한솔주택,한솔주택,한솔주택,3,1,8,2019-02-15
41271320393698,4127110400109550009,경기도 안산상록구 본오동 955-9,레베랑스,레베랑스,레베랑스,3,1,7,2019-09-08
41271320167228,4127110400109550010,경기도 안산상록구 본오동 955-10,우경쉐르빌A동,우경쉐르빌,우경쉐르빌,3,1,8,2012-12-20
41271320167246,4127110400109550011,경기도 안산상록구 본오동 955-11,우경쉐르빌B동,우경쉐르빌,우경쉐르빌,3,1,8,2012-12-20
41271320394352,4127110400109550014,경기도 안산상록구 본오동 955-14,(955-14),,,3,1,11,2019-10-16
41271320417731,4127110400109560002,경기도 안산상록구 본오동 956-2,(956-2),,,3,1,4,2021-03-11
41271312169744,4127110400109560004,경기도 안산상록구 본오동 956-4,일신빌리지(956-4),일신빌리지,일신빌리지,3,1,9,2002-04-10
41271320090541,4127110400109560007,경기도 안산상록구 본오동 956-7,호정아튼빌,호정아튼빌,호정아튼빌,3,1,8,2008-03-24
41271320312375,4127110400109560012,경기도 안산상록구 본오동 956-12,거림(956-12),,,3,1,13,2015-02-06
41271312169747,4127110400109560013,경기도 안산상록구 본오동 956-13,(956-13),,,3,1,10,2002-04-18
41271320172451,4127110400109560015,경기도 안산상록구 본오동 956-15,호원빌리지(956-15),호원빌리지,호원빌리지,3,1,8,2013-03-05
41271320165091,4127110400109560017,경기도 안산상록구 본오동 956-17,태흥프라임빌,태흥프라임빌,태흥프라임빌,3,1,8,2012-10-29
41271320181432,4127110400109570001,경기도 안산상록구 본오동 957-1,다원하우스,다원하우스,다원하우스,3,1,8,2013-08-01
41271320116632,4127110400109570003,경기도 안산상록구 본오동 957-3,금정쉐르빌,금정쉐르빌,금정쉐르빌,3,1,8,2009-04-13
41271312169748,4127110400109570004,경기도 안산상록구 본오동 957-4,해성빌라,해성빌라,해성빌라,3,1,8,2002-05-24
41271320311587,4127110400109570005,경기도 안산상록구 본오동 957-5,청담노블레스,청담노블레스,청담노블레스,3,1,8,2015-01-14
41271312169749,4127110400109570006,경기도 안산상록구 본오동 957-6,안산빌라트,,,3,1,8,2002-10-14
41271320429561,4127110400109570008,경기도 안산상록구 본오동 957-8,(957-8),,,3,1,8,2021-10-29
41271320295262,4127110400109570011,경기도 안산상록구 본오동 957-11,아리안(나동),,,3,1,7,2014-07-23
41271320295337,4127110400109570012,경기도 안산상록구 본오동 957-12,아리안(가동),,,3,1,7,2014-07-23
41271320021737,4127110400109570014,경기도 안산상록구 본오동 957-14,(957-14),,,3,1,7,2005-11-30
41271320140626,4127110400109590001,경기도 안산상록구 본오동 959-1,동산아트빌,동산아트빌,동산아트빌,3,1,8,2011-07-01
41271320446491,4127110400109600001,경기도 안산상록구 본오동 960-1,다올하우스(960-1),다올하우스,다올하우스,3,1,7,2023-06-20
41271312169750,4127110400109600002,경기도 안산상록구 본오동 960-2,(960-2),,,3,1,11,1997-03-06
41271312169751,4127110400109600003,경기도 안산상록구 본오동 960-3,(960-3),,,3,1,10,2002-08-09
41271312169752,4127110400109600004,경기도 안산상록구 본오동 960-4,(960-4),,,3,1,17,2002-08-14
41271320301368,4127110400109600005,경기도 안산상록구 본오동 960-5,보강팰리스(960-5),보강팰리스,보강팰리스,3,1,8,2014-10-20
41271320347761,4127110400109600017,경기도 안산상록구 본오동 960-17,지웰센트럴,지웰센트럴,지웰센트럴,3,1,7,2017-02-15
41271312169755,4127110400109600022,경기도 안산상록구 본오동 960-22,(960-22),,,3,1,11,2001-11-03
41271320441134,4127110400109600026,경기도 안산상록구 본오동 960-26,대덕캐슬(906-26),,,3,1,9,2022-11-29
41271320163656,4127110400109610001,경기도 안산상록구 본오동 961-1,조안샤인빌(961-1),,,3,1,8,2012-09-21
41271320396102,4127110400109610003,경기도 안산상록구 본오동 961-3,동산하이빌,동산하이빌,동산하이빌,3,1,11,2019-12-12
41271320183879,4127110400109610004,경기도 안산상록구 본오동 961-4,(961-4),,,3,1,15,2013-10-23
41271312169756,4127110400109620000,경기도 안산상록구 본오동 962,이호빌,,,3,1,8,2003-01-08
41271320380779,4127110400109620002,경기도 안산상록구 본오동 962-2,라온제나,라온제나,라온제나,3,1,8,2018-11-07
41271320149705,4127110400109620003,경기도 안산상록구 본오동 962-3,창조의빌,,,3,1,21,2012-02-08
41271320091126,4127110400109620004,경기도 안산상록구 본오동 962-4,로하스빌,,,3,1,8,2008-05-09
41271320069703,4127110400109620008,경기도 안산상록구 본오동 962-8,은솔아트,은솔아트,은솔아트,3,1,7,2007-05-30
41271312169757,4127110400109620010,경기도 안산상록구 본오동 962-10,건영아트빌,,,3,1,8,2002-11-26
